",""source"",""target"",""type"",""weight"""
"277,""J Balvin"",""BIA"",""undirected"",1.17647058823529"
"278,""J Balvin"",""Pharrell Williams"",""undirected"",1.17647058823529"
"279,""J Balvin"",""Sky Rompiendo"",""undirected"",1.17647058823529"
"280,""BIA"",""Pharrell Williams"",""undirected"",1.17647058823529"
"281,""BIA"",""Sky Rompiendo"",""undirected"",1.17647058823529"
"282,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",1.17647058823529"
"283,""The Weeknd"",""Daft Punk"",""undirected"",1.14285714285714"
"284,""The Chainsmokers"",""Halsey"",""undirected"",1.05263157894737"
"285,""Zion & Lennox"",""J Balvin"",""undirected"",1"
"286,""Luis Fonsi"",""Daddy Yankee"",""undirected"",40"
"287,""Zayn Malik"",""Taylor Swift"",""undirected"",8"
"288,""The Weeknd"",""Daft Punk"",""undirected"",5.71428571428571"
"289,""Tini"",""Sebastián Yatra"",""undirected"",4.44444444444444"
"290,""Katy Perry"",""Skip Marley"",""undirected"",4"
"291,""The Chainsmokers"",""Emily Warren"",""undirected"",3.63636363636364"
"292,""Dua Lipa"",""Martin Garrix"",""undirected"",3.33333333333333"
"293,""Louis Tomlinson"",""Steve Aoki"",""undirected"",3.07692307692308"
"294,""Shakira"",""Maluma"",""undirected"",2.85714285714286"
"295,""Enrique Iglesias"",""Descemer Bueno"",""undirected"",2.66666666666667"
"296,""Enrique Iglesias"",""Zion & Lennox"",""undirected"",2.66666666666667"
"297,""Descemer Bueno"",""Zion & Lennox"",""undirected"",2.66666666666667"
"298,""Clean Bandit"",""Anne-Marie"",""undirected"",2.22222222222222"
"299,""Clean Bandit"",""Sean Paul"",""undirected"",2.22222222222222"
"300,""Anne-Marie"",""Sean Paul"",""undirected"",2.22222222222222"
"301,""Cédric Gervais"",""Chris Willis"",""undirected"",1.9047619047619"
"302,""Cédric Gervais"",""David Guetta"",""undirected"",1.9047619047619"
"303,""Chris Willis"",""David Guetta"",""undirected"",1.9047619047619"
"304,""Maluma"",""Ricky Martin"",""undirected"",1.81818181818182"
"305,""David Guetta"",""Robin Schulz"",""undirected"",1.73913043478261"
"306,""David Guetta"",""Cheat Codes"",""undirected"",1.73913043478261"
